,Team,Op Team,score,Opscore,RaidPoints,OpRaid,TacklePoints,OpTackle,Allout,OpAllOut,ExtraPoints,OpExtra,win,season
364,BENGALURU BULLS,U.P. YODDHA,38,32,17,19,15,8,4,2,2,3,0,5
365,PUNERI PALTAN,DABANG DELHI K.C.,34,31,23,19,6,9,2,2,3,1,0,5
366,PUNERI PALTAN,HARYANA STEELERS,27,31,16,13,9,12,0,2,2,4,1,5
367,PATNA PIRATES,BENGALURU BULLS,29,29,19,18,10,9,0,2,0,0,draw,5
368,PUNERI PALTAN,JAIPUR PINK PANTHERS,38,15,15,8,18,7,4,0,1,0,0,5
369,TELUGU TITANS,BENGAL WARRIORS,37,37,21,20,11,8,4,4,1,5,draw,5
370,PUNERI PALTAN,GUJARAT FORTUNEGIANTS,22,23,8,13,11,9,0,0,3,1,1,5
371,PUNERI PALTAN,U.P. YODDHA,40,38,18,23,17,8,4,4,1,3,0,5
372,PATNA PIRATES,HARYANA STEELERS,69,30,44,25,14,3,10,0,1,2,0,5
373,GUJARAT FORTUNEGIANTS,BENGAL WARRIORS,42,17,21,8,14,7,6,0,1,2,0,5
374,PUNERI PALTAN,PATNA PIRATES,32,42,15,23,11,9,2,6,4,4,1,5
375,BENGAL WARRIORS,PATNA PIRATES,44,47,33,28,6,10,2,6,3,3,1,5
376,GUJARAT FORTUNEGIANTS,PATNA PIRATES,38,55,27,32,5,13,2,8,4,2,1,5
377,TAMIL THALAIVAS,PATNA PIRATES,42,26,24,21,11,2,6,2,1,1,0,6
378,PUNERI PALTAN,U MUMBA,32,32,21,20,11,9,0,2,0,1,draw,6
379,PUNERI PALTAN,HARYANA STEELERS,34,22,16,11,9,9,4,0,5,2,0,6
380,TAMIL THALAIVAS,U.P. YODDHA,32,37,22,18,5,10,4,4,1,5,1,6
381,DABANG DELHI K.C.,GUJARAT FORTUNEGIANTS,32,32,19,17,10,11,2,2,1,2,draw,6
382,TAMIL THALAIVAS,TELUGU TITANS,28,33,16,16,11,14,0,2,1,1,1,6
383,U MUMBA,JAIPUR PINK PANTHERS,39,32,22,14,10,10,4,2,3,6,0,6
384,TAMIL THALAIVAS,BENGALURU BULLS,37,48,30,31,5,12,2,4,0,1,1,6
385,JAIPUR PINK PANTHERS,DABANG DELHI K.C.,29,40,22,27,7,8,0,4,0,1,1,6
386,TAMIL THALAIVAS,BENGAL WARRIORS,27,36,18,18,8,10,0,4,1,4,1,6
387,BENGALURU BULLS,U.P. YODDHA,37,27,20,14,13,12,4,0,0,1,0,6
388,HARYANA STEELERS,GUJARAT FORTUNEGIANTS,32,25,13,16,14,9,2,0,3,0,0,6
389,PATNA PIRATES,U.P. YODDHA,43,37,29,28,8,6,4,2,2,1,0,6
390,PUNERI PALTAN,DABANG DELHI K.C.,37,41,24,23,9,10,2,4,2,4,1,6
391,HARYANA STEELERS,U MUMBA,26,53,19,29,5,15,0,8,2,1,1,6
392,TELUGU TITANS,U.P. YODDHA,34,29,17,16,15,11,0,0,2,2,0,6
393,HARYANA STEELERS,PUNERI PALTAN,27,45,21,20,4,16,0,6,2,3,1,6
394,BENGAL WARRIORS,TELUGU TITANS,30,25,16,10,7,13,2,0,5,2,0,6
395,HARYANA STEELERS,JAIPUR PINK PANTHERS,33,36,22,22,7,11,0,2,4,1,1,6
396,BENGALURU BULLS,TAMIL THALAIVAS,44,35,26,22,12,10,4,2,2,1,0,6
397,HARYANA STEELERS,U MUMBA,32,42,22,27,9,11,0,4,1,0,1,6
398,HARYANA STEELERS,DABANG DELHI K.C.,34,31,19,21,12,10,2,0,1,0,0,6
399,PUNERI PALTAN,GUJARAT FORTUNEGIANTS,28,34,17,18,7,11,0,2,4,3,1,6
400,PATNA PIRATES,TELUGU TITANS,31,35,19,15,8,15,2,2,2,3,1,6
401,PUNERI PALTAN,JAIPUR PINK PANTHERS,29,25,9,9,18,14,0,2,2,0,0,6
402,U.P. YODDHA,BENGAL WARRIORS,40,40,25,25,8,12,2,2,5,1,draw,6
403,PUNERI PALTAN,U MUMBA,33,32,19,21,8,8,2,2,4,1,0,6
404,DABANG DELHI K.C.,BENGAL WARRIORS,39,30,18,25,10,2,4,0,7,3,0,6
405,PUNERI PALTAN,BENGALURU BULLS,27,25,12,13,10,10,0,2,5,0,0,6
406,U MUMBA,TELUGU TITANS,41,20,22,13,12,6,6,0,1,1,0,6
407,PUNERI PALTAN,TAMIL THALAIVAS,31,36,21,23,7,9,0,4,3,0,1,6
408,BENGALURU BULLS,HARYANA STEELERS,42,34,29,28,7,4,4,0,2,2,0,6
409,PUNERI PALTAN,U.P. YODDHA,23,29,14,18,5,9,0,0,4,2,1,6
410,PATNA PIRATES,JAIPUR PINK PANTHERS,41,30,22,22,14,8,4,0,1,0,0,6
411,GUJARAT FORTUNEGIANTS,TAMIL THALAIVAS,36,25,21,18,13,7,2,0,0,0,0,6
412,JAIPUR PINK PANTHERS,BENGAL WARRIORS,28,39,20,22,7,12,0,4,1,1,1,6
413,PATNA PIRATES,U MUMBA,39,40,23,26,7,12,4,0,5,2,1,6
414,DABANG DELHI K.C.,U.P. YODDHA,36,38,24,25,8,9,2,4,2,0,1,6
415,PATNA PIRATES,HARYANA STEELERS,32,43,23,21,8,15,0,4,1,3,1,6
416,PUNERI PALTAN,GUJARAT FORTUNEGIANTS,27,37,13,18,13,12,0,4,1,3,1,6
417,PATNA PIRATES,TELUGU TITANS,32,53,24,26,6,18,0,6,2,3,1,6
