,Team,Op Team,score,Opscore,RaidPoints,OpRaid,TacklePoints,OpTackle,Allout,OpAllOut,ExtraPoints,OpExtra,win,season
573,DABANG DELHI K.C.,U.P. YODDHA,36,27,20,18,10,9,4,0,2,0,0,7
574,BENGAL WARRIORS,HARYANA STEELERS,33,36,24,23,5,8,2,2,2,3,1,7
575,U.P. YODDHA,PUNERI PALTAN,35,30,20,19,10,8,4,2,1,1,0,7
576,GUJARAT FORTUNEGIANTS,HARYANA STEELERS,25,41,16,20,8,14,0,6,1,1,1,7
577,DABANG DELHI K.C.,U MUMBA,40,24,18,14,16,10,6,0,0,0,0,7
578,BENGAL WARRIORS,TAMIL THALAIVAS,35,26,21,20,10,6,4,0,0,0,0,7
579,TELUGU TITANS,PUNERI PALTAN,27,34,10,15,17,14,0,2,0,3,1,7
580,DABANG DELHI K.C.,PATNA PIRATES,38,35,23,24,11,7,4,4,0,0,0,7
581,BENGALURU BULLS,GUJARAT FORTUNEGIANTS,23,32,9,11,13,13,0,4,1,4,1,7
582,U MUMBA,JAIPUR PINK PANTHERS,47,21,22,15,15,5,8,0,2,1,0,7
583,U.P. YODDHA,BENGAL WARRIORS,32,29,12,15,16,11,2,0,2,3,0,7
584,BENGALURU BULLS,TAMIL THALAIVAS,33,27,22,14,8,12,2,0,1,1,0,7
585,PUNERI PALTAN,HARYANA STEELERS,27,41,18,21,8,14,0,4,1,2,1,7
586,TELUGU TITANS,TAMIL THALAIVAS,35,30,21,22,9,8,2,0,3,0,0,7
587,JAIPUR PINK PANTHERS,DABANG DELHI K.C.,44,46,22,28,13,9,4,4,5,5,1,7
588,BENGALURU BULLS,PATNA PIRATES,40,39,24,21,13,15,2,2,1,1,0,7
589,PUNERI PALTAN,U MUMBA,33,33,12,18,12,11,4,2,5,2,draw,7
590,PATNA PIRATES,U.P. YODDHA,29,41,19,20,8,14,2,6,0,1,1,7
591,BENGALURU BULLS,TELUGU TITANS,40,39,28,29,7,8,4,2,1,0,0,7
592,BENGAL WARRIORS,GUJARAT FORTUNEGIANTS,25,25,17,16,8,8,0,0,0,1,draw,7
593,DABANG DELHI K.C.,HARYANA STEELERS,25,47,19,26,5,14,0,6,1,1,1,7
594,DABANG DELHI K.C.,TAMIL THALAIVAS,50,34,32,27,8,3,6,0,4,4,0,7
595,BENGAL WARRIORS,PUNERI PALTAN,42,39,27,22,10,12,4,4,1,1,0,7
596,U.P. YODDHA,GUJARAT FORTUNEGIANTS,33,26,16,16,12,7,4,2,1,1,0,7
597,TAMIL THALAIVAS,PATNA PIRATES,25,51,18,28,6,14,0,8,1,1,1,7
598,HARYANA STEELERS,JAIPUR PINK PANTHERS,32,32,17,16,13,10,2,4,0,2,draw,7
599,BENGAL WARRIORS,U MUMBA,29,26,16,20,10,6,2,0,1,0,0,7
600,JAIPUR PINK PANTHERS,PATNA PIRATES,33,36,23,23,9,10,0,2,1,1,1,7
601,TELUGU TITANS,U MUMBA,27,41,15,18,9,15,2,6,1,2,1,7
602,BENGAL WARRIORS,BENGALURU BULLS,42,40,25,28,12,7,4,2,1,3,0,7
603,PUNERI PALTAN,GUJARAT FORTUNEGIANTS,43,33,20,17,18,8,4,2,1,6,0,7
604,TAMIL THALAIVAS,HARYANA STEELERS,35,43,22,23,9,15,2,4,2,1,1,7
605,DABANG DELHI K.C.,GUJARAT FORTUNEGIANTS,34,30,19,19,10,5,4,2,1,4,0,7
606,PUNERI PALTAN,PATNA PIRATES,33,55,25,26,8,18,0,8,0,3,1,7
607,PUNERI PALTAN,BENGALURU BULLS,32,38,13,16,16,6,2,0,0,1,1,7
608,TAMIL THALAIVAS,JAIPUR PINK PANTHERS,29,37,16,14,6,11,2,0,2,3,1,7
609,BENGAL WARRIORS,PATNA PIRATES,39,36,20,18,11,6,4,2,0,0,0,7
610,GUJARAT FORTUNEGIANTS,PATNA PIRATES,36,36,16,14,11,9,2,2,0,1,draw,7
611,TAMIL THALAIVAS,U MUMBA,48,36,14,14,6,11,0,2,4,2,0,7
612,DABANG DELHI K.C.,BENGALURU BULLS,42,42,21,19,10,10,2,2,0,0,draw,7
613,JAIPUR PINK PANTHERS,TELUGU TITANS,42,38,6,9,14,15,0,0,1,0,0,7
614,JAIPUR PINK PANTHERS,BENGALURU BULLS,28,28,13,21,12,16,2,4,3,0,draw,7
615,DABANG DELHI K.C.,U.P. YODDHA,42,22,20,18,10,9,4,0,2,0,0,7
616,BENGAL WARRIORS,HARYANA STEELERS,31,25,24,23,5,8,2,2,2,3,0,7
617,U.P. YODDHA,PUNERI PALTAN,40,41,20,19,10,8,4,2,1,1,1,7
618,GUJARAT FORTUNEGIANTS,HARYANA STEELERS,34,39,16,20,8,14,0,6,1,1,1,7
619,DABANG DELHI K.C.,U MUMBA,39,39,18,14,16,10,6,0,0,0,draw,7
620,BENGAL WARRIORS,TAMIL THALAIVAS,39,40,21,20,10,6,4,0,0,0,1,7
621,TELUGU TITANS,PUNERI PALTAN,43,34,10,15,17,14,0,2,0,3,0,7
622,DABANG DELHI K.C.,PATNA PIRATES,39,43,23,24,11,7,4,4,0,0,1,7
623,BENGALURU BULLS,GUJARAT FORTUNEGIANTS,33,35,9,11,13,13,0,4,1,4,1,7
624,U MUMBA,JAIPUR PINK PANTHERS,31,51,22,15,15,5,8,0,2,1,1,7
625,U.P. YODDHA,BENGAL WARRIORS,30,37,12,15,16,11,2,0,2,3,1,7
626,BENGALURU BULLS,TAMIL THALAIVAS,50,21,22,14,8,12,2,0,1,1,0,7
627,PUNERI PALTAN,HARYANA STEELERS,40,60,18,21,8,14,0,4,1,2,1,7
628,TELUGU TITANS,TAMIL THALAIVAS,38,37,21,22,9,8,2,0,3,0,0,7
629,JAIPUR PINK PANTHERS,DABANG DELHI K.C.,42,33,22,28,13,9,4,4,5,5,0,7
630,BENGALURU BULLS,PATNA PIRATES,32,36,24,21,13,15,2,2,1,1,1,7
631,PUNERI PALTAN,U MUMBA,30,26,12,18,12,11,4,2,5,2,0,7
632,PATNA PIRATES,U.P. YODDHA,36,59,19,20,8,14,2,6,0,1,1,7
633,BENGALURU BULLS,TELUGU TITANS,50,53,28,29,7,8,4,2,1,0,1,7
634,JAIPUR PINK PANTHERS,BENGALURU BULLS,41,34,27,23,12,8,2,2,0,1,0,7
635,HARYANA STEELERS,TELUGU TITANS,52,32,31,23,12,8,6,0,3,1,0,7
636,U.P. YODDHA,DABANG DELHI K.C.,50,33,29,23,14,8,6,0,1,2,0,7
637,GUJARAT FORTUNEGIANTS,PATNA PIRATES,33,39,21,23,10,10,2,4,0,2,1,7
638,BENGAL WARRIORS,PATNA PIRATES,41,69,31,41,7,17,2,8,1,3,1,7
639,U.P. YODDHA,PUNERI PALTAN,43,39,21,20,15,17,4,2,3,0,0,7
640,TELUGU TITANS,GUJARAT FORTUNEGIANTS,38,48,24,31,11,11,2,6,1,0,1,7
641,TAMIL THALAIVAS,JAIPUR PINK PANTHERS,35,33,18,21,13,9,2,0,2,3,0,7
642,BENGAL WARRIORS,TAMIL THALAIVAS,33,29,16,16,10,8,2,0,5,5,0,7
643,U.P. YODDHA,TELUGU TITANS,36,41,19,26,12,8,4,4,1,3,1,7
644,U MUMBA,HARYANA STEELERS,39,33,20,21,15,10,2,2,2,0,0,7
645,DABANG DELHI K.C.,U MUMBA,37,37,22,21,9,11,4,4,2,1,draw,7
646,U.P. YODDHA,BENGALURU BULLS,45,33,22,21,13,8,6,2,4,2,0,7
647,U.P. YODDHA,BENGALURU BULLS,45,48,28,29,14,9,2,6,1,4,1,7
648,U MUMBA,HARYANA STEELERS,46,38,32,30,9,5,4,2,1,1,0,7
649,DABANG DELHI K.C.,BENGALURU BULLS,44,38,23,28,15,6,6,0,0,4,0,7
650,BENGAL WARRIORS,U MUMBA,37,35,18,23,10,8,4,2,5,2,0,7
651,DABANG DELHI K.C.,BENGAL WARRIORS,34,39,27,22,3,10,2,6,2,1,1,7
